Loyalty Number,CLV,Churn_Probability,Risk_Level,Value_Segment,Revenue_At_Risk,Priority_Score,Recommended_Action,Communication_Channel,Action_Timeline
488884,4966.77,0.1420182,Low Risk,Silver,705.3717300832272,705.3717300832272,No Action Required,None,No Immediate Action
285636,2582.41,0.19658048,Low Risk,Bronze,507.6514090020954,507.6514090020954,No Action Required,None,No Immediate Action
284892,8810.9,0.30522153,Low Risk,Gold,2689.276359423995,2689.276359423995,No Action Required,None,No Immediate Action
473194,5704.98,0.13768484,Low Risk,Silver,785.4892412951588,785.4892412951588,No Action Required,None,No Immediate Action
284621,2276.39,0.15262382,Low Risk,Bronze,347.4313315196335,347.4313315196335,No Action Required,None,No Immediate Action
298232,3499.99,0.10695684,Low Risk,Bronze,374.3478688967228,374.3478688967228,No Action Required,None,No Immediate Action
473259,7892.82,0.27824715,Low Risk,Gold,2196.1546530872583,2196.1546530872583,No Action Required,None,No Immediate Action
297218,2886.23,0.99990773,Critical Risk,Bronze,2885.963693358898,2885.963693358898,Double Loyalty Points Campaign,App Notification,Within 24 Hours
488891,8090.88,0.99993217,Critical Risk,Gold,8090.331194915771,8090.331194915771,Free Upgrade Voucher,Email + SMS,Within 24 Hours
275386,6158.6,0.19305456,Low Risk,Gold,1188.9457937955858,1188.9457937955858,No Action Required,None,No Immediate Action
474779,2759.62,0.24756525,Low Risk,Bronze,683.1860278138518,683.1860278138518,No Action Required,None,No Immediate Action
272848,13167.61,0.13855708,Low Risk,Premium,1824.465545488596,1824.465545488596,No Action Required,None,No Immediate Action
974617,7854.77,0.068608105,Low Risk,Gold,538.9008863455058,538.9008863455058,No Action Required,None,No Immediate Action
298280,9420.97,0.07562596,Low Risk,Premium,712.4699334401637,712.4699334401637,No Action Required,None,No Immediate Action
229530,14886.71,0.0944652,Low Risk,Premium,1406.2760908346622,1406.2760908346622,No Action Required,None,No Immediate Action
474846,15936.58,0.32862762,Low Risk,Premium,5237.2002952557805,5237.2002952557805,No Action Required,None,No Immediate Action
489842,27528.31,0.12655723,Low Risk,Premium,3483.9066863167286,3483.9066863167286,No Action Required,None,No Immediate Action
473204,6974.92,0.114085965,Low Risk,Gold,795.7404780110717,795.7404780110717,No Action Required,None,No Immediate Action
272672,5191.05,0.124916665,Low Risk,Silver,648.4486551772803,648.4486551772803,No Action Required,None,No Immediate Action
284782,7396.28,0.18326394,Low Risk,Gold,1355.4714333683253,1355.4714333683253,No Action Required,None,No Immediate Action
298343,2698.01,0.1416839,Low Risk,Bronze,382.26459608167414,382.26459608167414,No Action Required,None,No Immediate Action
997599,5860.02,0.09044353,Low Risk,Gold,530.000889915973,530.000889915973,No Action Required,None,No Immediate Action
976004,7751.93,0.5973303,Medium Risk,Gold,4630.462456957698,4630.462456957698,Targeted Email Campaign,None,Within 30 Days
473775,16477.77,0.093701504,Low Risk,Premium,1543.9918343820423,1543.9918343820423,No Action Required,None,No Immediate Action
489301,13742.54,0.28095502,Low Risk,Premium,3861.0355540049077,3861.0355540049077,No Action Required,None,No Immediate Action
489459,13473.19,0.99993837,Critical Risk,Premium,13472.359631096126,13472.359631096126,Personal Relationship Manager Call,Phone Call,Within 24 Hours
285202,5926.96,0.2574827,Low Risk,Gold,1526.089708046913,1526.089708046913,No Action Required,None,No Immediate Action
285411,5008.28,0.16237035,Low Risk,Silver,813.1961962163448,813.1961962163448,No Action Required,None,No Immediate Action
473786,10536.08,0.63607955,High Risk,Premium,6701.785022945404,6701.785022945404,Priority Lounge Access,Email,Within 7 Days
489443,5746.33,0.9999347,Critical Risk,Silver,5745.954611277581,5745.954611277581,Double Loyalty Points Campaign,App Notification,Within 24 Hours
474305,6721.89,0.088169664,Low Risk,Gold,592.6667837163807,592.6667837163807,No Action Required,None,No Immediate Action
297684,2885.74,0.33320484,Low Risk,Bronze,961.5425224381685,961.5425224381685,No Action Required,None,No Immediate Action
229308,6376.75,0.9999329,Critical Risk,Gold,6376.3220255076885,6376.3220255076885,Free Upgrade Voucher,Email + SMS,Within 24 Hours
997653,6990.69,0.9477652,Critical Risk,Gold,6625.532506948113,6625.532506948113,Free Upgrade Voucher,Email + SMS,Within 24 Hours
474272,6508.76,0.9703523,Critical Risk,Gold,6315.790184473992,6315.790184473992,Free Upgrade Voucher,Email + SMS,Within 24 Hours
297520,8453.68,0.18921229,Low Risk,Gold,1599.5401722931863,1599.5401722931863,No Action Required,None,No Immediate Action
489335,7096.6,0.20164667,Low Risk,Gold,1431.005763283372,1431.005763283372,No Action Required,None,No Immediate Action
489394,11044.11,0.20836425,Low Risk,Premium,2301.197678024769,2301.197678024769,No Action Required,None,No Immediate Action
976007,20474.15,0.14803165,Low Risk,Premium,3030.822247257829,3030.822247257829,No Action Required,None,No Immediate Action
297621,13466.92,0.13253726,Low Risk,Premium,1784.8686862140894,1784.8686862140894,No Action Required,None,No Immediate Action
489371,8334.36,0.10120731,Low Risk,Gold,843.4981434300543,843.4981434300543,No Action Required,None,No Immediate Action
272812,5158.58,0.09151538,Low Risk,Silver,472.0893943300843,472.0893943300843,No Action Required,None,No Immediate Action
474172,4369.04,0.99994314,Critical Risk,Silver,4368.791564016342,4368.791564016342,Double Loyalty Points Campaign,App Notification,Within 24 Hours
229265,13107.93,0.17246312,Low Risk,Premium,2260.634491826892,2260.634491826892,No Action Required,None,No Immediate Action
285335,13736.13,0.14304003,Low Risk,Premium,1964.8164636942743,1964.8164636942743,No Action Required,None,No Immediate Action
275306,2630.21,0.10599957,Low Risk,Bronze,278.8011201054603,278.8011201054603,No Action Required,None,No Immediate Action
297702,7409.08,0.11944099,Low Risk,Gold,884.9478331941366,884.9478331941366,No Action Required,None,No Immediate Action
297607,9298.89,0.2435531,Low Risk,Premium,2264.773504809737,2264.773504809737,No Action Required,None,No Immediate Action
474047,2533.74,0.9999261,Critical Risk,Bronze,2533.55273188591,2533.55273188591,Double Loyalty Points Campaign,App Notification,Within 24 Hours
489391,5935.82,0.32592455,Low Risk,Gold,1934.629435827136,1934.629435827136,No Action Required,None,No Immediate Action
224952,4200.82,0.093949884,Low Risk,Silver,394.66655244529244,394.66655244529244,No Action Required,None,No Immediate Action
974606,11277.72,0.14455475,Low Risk,Premium,1630.2479853719472,1630.2479853719472,No Action Required,None,No Immediate Action
474027,8609.16,0.91002446,Critical Risk,Gold,7834.546215612888,7834.546215612888,Free Upgrade Voucher,Email + SMS,Within 24 Hours
285220,16589.71,0.11366745,Low Risk,Premium,1885.710045961812,1885.710045961812,No Action Required,None,No Immediate Action
297568,5714.56,0.115093425,Low Risk,Silver,657.7082822895051,657.7082822895051,No Action Required,None,No Immediate Action
474333,15114.4,0.1158827,Low Risk,Premium,1751.4975137054919,1751.4975137054919,No Action Required,None,No Immediate Action
224924,3615.89,0.11510456,Low Risk,Bronze,416.20544023789466,416.20544023789466,No Action Required,None,No Immediate Action
297427,8528.29,0.99993694,Critical Risk,Gold,8527.752191413641,8527.752191413641,Free Upgrade Voucher,Email + SMS,Within 24 Hours
100214,4170.57,0.23829237,Low Risk,Silver,993.8149939790368,993.8149939790368,No Action Required,None,No Immediate Action
473648,6871.97,0.5782785,Medium Risk,Gold,3973.9123796767,3973.9123796767,Targeted Email Campaign,None,Within 30 Days
489534,5639.94,0.12426825,Low Risk,Silver,700.8654664447903,700.8654664447903,No Action Required,None,No Immediate Action
272839,5568.95,0.22640337,Low Risk,Silver,1260.829050143808,1260.829050143808,No Action Required,None,No Immediate Action
473636,6677.42,0.06322079,Low Risk,Gold,422.15177770271896,422.15177770271896,No Action Required,None,No Immediate Action
474383,4318.09,0.81648153,Critical Risk,Silver,3525.640732755065,3525.640732755065,Double Loyalty Points Campaign,App Notification,Within 24 Hours
297954,2345.13,0.9999304,Critical Risk,Bronze,2344.966736211777,2344.966736211777,Double Loyalty Points Campaign,App Notification,Within 24 Hours
298063,8204.86,0.15693842,Low Risk,Gold,1287.657754432261,1287.657754432261,No Action Required,None,No Immediate Action
489549,6897.51,0.84051114,Critical Risk,Gold,5797.434015385509,5797.434015385509,Free Upgrade Voucher,Email + SMS,Within 24 Hours
285485,5320.34,0.19968939,Low Risk,Silver,1062.415440015793,1062.415440015793,No Action Required,None,No Immediate Action
224854,2619.34,0.14307614,Low Risk,Bronze,374.76504792541266,374.76504792541266,No Action Required,None,No Immediate Action
100504,8807.61,0.7670544,High Risk,Gold,6755.915818904043,6755.915818904043,Priority Lounge Access,Email,Within 7 Days
473622,5227.77,0.091701776,Low Risk,Silver,479.3957924178243,479.3957924178243,No Action Required,None,No Immediate Action
297379,3312.32,0.14021862,Low Risk,Bronze,464.44892459869385,464.44892459869385,No Action Required,None,No Immediate Action
285074,8058.66,0.99989235,Critical Risk,Gold,8057.792517578601,8057.792517578601,Free Upgrade Voucher,Email + SMS,Within 24 Hours
225067,2298.38,0.15838477,Low Risk,Bronze,364.0283880287409,364.0283880287409,No Action Required,None,No Immediate Action
489244,2555.54,0.052637164,Low Risk,Bronze,134.5163769377023,134.5163769377023,No Action Required,None,No Immediate Action
473674,3096.51,0.671327,High Risk,Bronze,2078.770752965212,2078.770752965212,20% Bonus Miles Offer,Email,Within 7 Days
473772,14325.15,0.077212855,Low Risk,Premium,1106.0857329525054,1106.0857329525054,No Action Required,None,No Immediate Action
489279,13306.18,0.13041762,Low Risk,Premium,1735.3602626925708,1735.3602626925708,No Action Required,None,No Immediate Action
275358,2497.81,0.1225132,Low Risk,Bronze,306.01468950383367,306.01468950383367,No Action Required,None,No Immediate Action
297869,5154.76,0.11838331,Low Risk,Silver,610.2375548455119,610.2375548455119,No Action Required,None,No Immediate Action
473758,7078.95,0.0871089,Low Risk,Gold,616.6395662952215,616.6395662952215,No Action Required,None,No Immediate Action
474342,8012.84,0.08485917,Low Risk,Gold,679.9629519000649,679.9629519000649,No Action Required,None,No Immediate Action
489523,32961.15,0.25867894,Low Risk,Premium,8526.355439387262,8526.355439387262,No Action Required,None,No Immediate Action
272787,12200.79,0.08212368,Low Risk,Premium,1001.9737969239056,1001.9737969239056,No Action Required,None,No Immediate Action
285122,4022.96,0.11970273,Low Risk,Silver,481.5592810130119,481.5592810130119,No Action Required,None,No Immediate Action
999272,10656.88,0.12266302,Low Risk,Premium,1307.205096168518,1307.205096168518,No Action Required,None,No Immediate Action
285484,5028.84,0.1935139,Low Risk,Silver,973.1504410851002,973.1504410851002,No Action Required,None,No Immediate Action
229210,6775.92,0.11183724,Low Risk,Gold,757.800178205967,757.800178205967,No Action Required,None,No Immediate Action
297382,11631.88,0.1155393,Low Risk,Premium,1343.9392433565854,1343.9392433565854,No Action Required,None,No Immediate Action
229391,2520.3,0.88788295,Critical Risk,Bronze,2237.731393647194,2237.731393647194,Double Loyalty Points Campaign,App Notification,Within 24 Hours
489501,6314.49,0.9707338,Critical Risk,Gold,6129.689007841945,6129.689007841945,Free Upgrade Voucher,Email + SMS,Within 24 Hours
492505,19927.64,0.13630982,Low Risk,Premium,2716.332970277667,2716.332970277667,No Action Required,None,No Immediate Action
976307,15272.8,0.109469645,Low Risk,Premium,1671.9079899609087,1671.9079899609087,No Action Required,None,No Immediate Action
298344,2393.04,0.113550656,Low Risk,Bronze,271.73126074254515,271.73126074254515,No Action Required,None,No Immediate Action
475249,8009.03,0.9998765,Critical Risk,Gold,8008.040878195762,8008.040878195762,Free Upgrade Voucher,Email + SMS,Within 24 Hours
298813,7955.44,0.16747019,Low Risk,Gold,1332.2990240597724,1332.2990240597724,No Action Required,None,No Immediate Action
472540,7619.52,0.10961452,Low Risk,Gold,835.2100370693207,835.2100370693207,No Action Required,None,No Immediate Action
997478,9628.7,0.13788591,Low Risk,Premium,1327.6620929375292,1327.6620929375292,No Action Required,None,No Immediate Action
490824,5838.13,0.15690841,Low Risk,Gold,916.0516828723252,916.0516828723252,No Action Required,None,No Immediate Action
283929,5989.77,0.08386311,Low Risk,Gold,502.32073649257427,502.32073649257427,No Action Required,None,No Immediate Action
105841,17420.57,0.6851885,High Risk,Premium,11936.373744389415,11936.373744389415,Priority Lounge Access,Email,Within 7 Days
296689,5010.38,0.29781446,Low Risk,Silver,1492.163607123494,1492.163607123494,No Action Required,None,No Immediate Action
285942,2374.15,0.11286946,Low Risk,Bronze,267.9690199367702,267.9690199367702,No Action Required,None,No Immediate Action
472589,9521.22,0.88752615,Critical Risk,Premium,8450.331772921085,8450.331772921085,Personal Relationship Manager Call,Phone Call,Within 24 Hours
283980,2907.36,0.14695528,Low Risk,Bronze,427.25190721035005,427.25190721035005,No Action Required,None,No Immediate Action
475233,6715.29,0.21090887,Low Risk,Gold,1416.3142583213746,1416.3142583213746,No Action Required,None,No Immediate Action
490806,4529.97,0.087056905,Low Risk,Silver,394.36516808420424,394.36516808420424,No Action Required,None,No Immediate Action
472674,4076.63,0.09295174,Low Risk,Silver,378.929841009751,378.929841009751,No Action Required,None,No Immediate Action
475175,14203.04,0.16123942,Low Risk,Premium,2290.089866604805,2290.089866604805,No Action Required,None,No Immediate Action
272476,21423.64,0.16851863,Low Risk,Premium,3610.2825191938878,3610.2825191938878,No Action Required,None,No Immediate Action
490774,2668.66,0.09448298,Low Risk,Bronze,252.14295119091867,252.14295119091867,No Action Required,None,No Immediate Action
472695,5521.54,0.1893819,Low Risk,Silver,1045.679722043276,1045.679722043276,No Action Required,None,No Immediate Action
296736,4717.63,0.129208,Low Risk,Silver,609.5555300304294,609.5555300304294,No Action Required,None,No Immediate Action
475172,6481.38,0.19830173,Low Risk,Gold,1285.2688832509518,1285.2688832509518,No Action Required,None,No Immediate Action
224676,5682.52,0.9999372,Critical Risk,Silver,5682.163005366326,5682.163005366326,Double Loyalty Points Campaign,App Notification,Within 24 Hours
488679,3362.41,0.24976407,Low Risk,Bronze,839.8092063222825,839.8092063222825,No Action Required,None,No Immediate Action
298712,8717.78,0.66753703,High Risk,Gold,5819.441000410319,5819.441000410319,Priority Lounge Access,Email,Within 7 Days
488647,21991.62,0.19148764,Low Risk,Premium,4211.1234167093035,4211.1234167093035,No Action Required,None,No Immediate Action
275442,4349.31,0.14079583,Low Risk,Silver,612.3646979463101,612.3646979463101,No Action Required,None,No Immediate Action
229677,17816.68,0.12308874,Low Risk,Premium,2193.0326888403297,2193.0326888403297,No Action Required,None,No Immediate Action
285938,3939.01,0.06655738,Low Risk,Bronze,262.1701758489013,262.1701758489013,No Action Required,None,No Immediate Action
472692,18061.92,0.15261294,Low Risk,Premium,2756.482703797817,2756.482703797817,No Action Required,None,No Immediate Action
296690,2308.65,0.10759561,Low Risk,Bronze,248.40059957429767,248.40059957429767,No Action Required,None,No Immediate Action
298795,7809.86,0.09252294,Low Risk,Gold,722.5912201355397,722.5912201355397,No Action Required,None,No Immediate Action
488675,38887.9,0.090969205,Low Risk,Premium,3537.601343333721,3537.601343333721,No Action Required,None,No Immediate Action
283994,3479.76,0.12213402,Low Risk,Bronze,424.99708583772184,424.99708583772184,No Action Required,None,No Immediate Action
974630,8566.42,0.14079936,Low Risk,Gold,1206.1464405313134,1206.1464405313134,No Action Required,None,No Immediate Action
229075,3065.37,0.9998883,Critical Risk,Bronze,3065.027600916624,3065.027600916624,Double Loyalty Points Campaign,App Notification,Within 24 Hours
229692,4574.0,0.76338357,High Risk,Silver,3491.716436982155,3491.716436982155,20% Bonus Miles Offer,Email,Within 7 Days
490860,4984.62,0.11156989,Low Risk,Silver,556.1334995578229,556.1334995578229,No Action Required,None,No Immediate Action
488549,3554.85,0.07680598,Low Risk,Bronze,273.03373449593784,273.03373449593784,No Action Required,None,No Immediate Action
272289,21343.47,0.9999316,Critical Risk,Premium,21342.00954890013,21342.00954890013,Personal Relationship Manager Call,Phone Call,Within 24 Hours
472445,2619.34,0.9305427,Critical Risk,Bronze,2437.4077353143693,2437.4077353143693,Double Loyalty Points Campaign,App Notification,Within 24 Hours
999460,11875.9,0.9999294,Critical Risk,Premium,11875.061895179748,11875.061895179748,Personal Relationship Manager Call,Phone Call,Within 24 Hours
283807,12846.45,0.15458393,Low Risk,Premium,1985.8547399997713,1985.8547399997713,No Action Required,None,No Immediate Action
275446,2375.0,0.124269575,Low Risk,Bronze,295.14024034142494,295.14024034142494,No Action Required,None,No Immediate Action
475395,6948.33,0.81912327,Critical Risk,Gold,5691.538777627945,5691.538777627945,Free Upgrade Voucher,Email + SMS,Within 24 Hours
472405,2823.5,0.14665079,Low Risk,Bronze,414.0685088634491,414.0685088634491,No Action Required,None,No Immediate Action
286065,5504.14,0.20127046,Low Risk,Silver,1107.8207956624033,1107.8207956624033,No Action Required,None,No Immediate Action
296579,7268.1,0.21683554,Low Risk,Gold,1575.9824138090016,1575.9824138090016,No Action Required,None,No Immediate Action
490984,4872.58,0.116856076,Low Risk,Silver,569.3905779351294,569.3905779351294,No Action Required,None,No Immediate Action
229842,7453.0,0.04837795,Low Risk,Gold,360.5608594454825,360.5608594454825,No Action Required,None,No Immediate Action
488535,3944.23,0.12567967,Low Risk,Bronze,495.70953176319597,495.70953176319597,No Action Required,None,No Immediate Action
490932,6669.18,0.09417599,Low Risk,Gold,628.0766086180508,628.0766086180508,No Action Required,None,No Immediate Action
298681,4981.83,0.11941147,Low Risk,Silver,594.8876361465454,594.8876361465454,No Action Required,None,No Immediate Action
298853,2746.12,0.13996413,Low Risk,Bronze,384.35830628991124,384.35830628991124,No Action Required,None,No Immediate Action
976413,4348.14,0.07352251,Low Risk,Silver,319.68615856289864,319.68615856289864,No Action Required,None,No Immediate Action
974330,3215.2,0.10916973,Low Risk,Bronze,351.0025128543377,351.0025128543377,No Action Required,None,No Immediate Action
298817,5094.52,0.12714376,Low Risk,Silver,647.7364055508376,647.7364055508376,No Action Required,None,No Immediate Action
472532,12472.12,0.08552899,Low Risk,Premium,1066.727853155434,1066.727853155434,No Action Required,None,No Immediate Action
105251,5074.25,0.94549924,Critical Risk,Silver,4797.6995254307985,4797.6995254307985,Double Loyalty Points Campaign,App Notification,Within 24 Hours
490840,10189.65,0.13581318,Low Risk,Premium,1383.88873526752,1383.88873526752,No Action Required,None,No Immediate Action
224666,5061.18,0.69604355,High Risk,Silver,3522.801699289084,3522.801699289084,20% Bonus Miles Offer,Email,Within 7 Days
475313,5237.94,0.99990404,Critical Risk,Silver,5237.437349059582,5237.437349059582,Double Loyalty Points Campaign,App Notification,Within 24 Hours
285982,10856.01,0.23240896,Low Risk,Premium,2523.033947095424,2523.033947095424,No Action Required,None,No Immediate Action
283822,7785.0,0.086813,Low Risk,Gold,675.8392269909382,675.8392269909382,No Action Required,None,No Immediate Action
298829,4611.25,0.06891501,Low Risk,Silver,317.7843375504017,317.7843375504017,No Action Required,None,No Immediate Action
272944,4872.02,0.15322652,Low Risk,Silver,746.5226923400164,746.5226923400164,No Action Required,None,No Immediate Action
296626,3289.12,0.10877387,Low Risk,Bronze,357.77031871557233,357.77031871557233,No Action Required,None,No Immediate Action
472488,8488.56,0.9023762,Critical Risk,Gold,7659.874303436279,7659.874303436279,Free Upgrade Voucher,Email + SMS,Within 24 Hours
225088,4170.34,0.14418803,Low Risk,Silver,601.3131155118347,601.3131155118347,No Action Required,None,No Immediate Action
472521,6265.34,0.587024,Medium Risk,Gold,3677.904781908989,3677.904781908989,Targeted Email Campaign,None,Within 30 Days
474921,5074.84,0.11350721,Low Risk,Silver,576.0309357285499,576.0309357285499,No Action Required,None,No Immediate Action
490563,2771.05,0.24973056,Low Risk,Bronze,692.0158605381847,692.0158605381847,No Action Required,None,No Immediate Action
284203,2496.14,0.0957919,Low Risk,Bronze,239.1099899406731,239.1099899406731,No Action Required,None,No Immediate Action
475009,27789.69,0.9999291,Critical Risk,Premium,27787.718890424967,27787.718890424967,Personal Relationship Manager Call,Phone Call,Within 24 Hours
275413,2582.41,0.2208376,Low Risk,Bronze,570.2932087421417,570.2932087421417,No Action Required,None,No Immediate Action
974441,5739.82,0.7909853,High Risk,Silver,4540.113165642023,4540.113165642023,20% Bonus Miles Offer,Email,Within 7 Days
472879,6358.25,0.057963908,Low Risk,Gold,368.5490162521601,368.5490162521601,No Action Required,None,No Immediate Action
298535,2810.46,0.10606472,Low Risk,Bronze,298.090658428967,298.090658428967,No Action Required,None,No Immediate Action
229621,5554.83,0.100658976,Low Risk,Silver,559.1434971076995,559.1434971076995,No Action Required,None,No Immediate Action
284442,7762.59,0.15283564,Low Risk,Gold,1186.4003899893164,1186.4003899893164,No Action Required,None,No Immediate Action
296997,8564.77,0.12057271,Low Risk,Gold,1032.6775169830769,1032.6775169830769,No Action Required,None,No Immediate Action
490387,2912.89,0.9999422,Critical Risk,Bronze,2912.7215868794915,2912.7215868794915,Double Loyalty Points Campaign,App Notification,Within 24 Hours
997654,14566.09,0.16244814,Low Risk,Premium,2366.2341984197496,2366.2341984197496,No Action Required,None,No Immediate Action
488853,4787.47,0.10327408,Low Risk,Silver,494.42154626280075,494.42154626280075,No Action Required,None,No Immediate Action
474945,3746.75,0.18240148,Low Risk,Bronze,683.4127387851477,683.4127387851477,No Action Required,None,No Immediate Action
999304,9778.98,0.92194605,Critical Risk,Premium,9015.691971673965,9015.691971673965,Personal Relationship Manager Call,Phone Call,Within 24 Hours
472921,9415.53,0.9291451,Critical Risk,Premium,8748.3935420537,8748.3935420537,Personal Relationship Manager Call,Phone Call,Within 24 Hours
285767,8197.2,0.93512625,Critical Risk,Gold,7665.416855692864,7665.416855692864,Free Upgrade Voucher,Email + SMS,Within 24 Hours
490250,2513.12,0.18101695,Low Risk,Bronze,454.91732190608974,454.91732190608974,No Action Required,None,No Immediate Action
272568,8209.92,0.13900477,Low Risk,Gold,1141.218016204834,1141.218016204834,No Action Required,None,No Immediate Action
490053,17788.06,0.12144089,Low Risk,Premium,2160.1977924346925,2160.1977924346925,No Action Required,None,No Immediate Action
229612,3087.43,0.12457424,Low Risk,Bronze,384.61423521883785,384.61423521883785,No Action Required,None,No Immediate Action
284461,3771.62,0.22124213,Low Risk,Bronze,834.4412416064739,834.4412416064739,No Action Required,None,No Immediate Action
472964,4650.06,0.094347484,Low Risk,Silver,438.721463354677,438.721463354677,No Action Required,None,No Immediate Action
105789,2943.05,0.14483155,Low Risk,Bronze,426.2465023554862,426.2465023554862,No Action Required,None,No Immediate Action
224740,3459.04,0.076194346,Low Risk,Bronze,263.55929041862487,263.55929041862487,No Action Required,None,No Immediate Action
490439,2415.83,0.76365066,High Risk,Bronze,1844.8501636719702,1844.8501636719702,20% Bonus Miles Offer,Email,Within 7 Days
285738,4896.56,0.93341094,Critical Risk,Silver,4570.502684874535,4570.502684874535,Double Loyalty Points Campaign,App Notification,Within 24 Hours
472942,5923.21,0.080858886,Low Risk,Gold,478.9441635769606,478.9441635769606,No Action Required,None,No Immediate Action
298506,5554.83,0.23309919,Low Risk,Silver,1294.8263868132233,1294.8263868132233,No Action Required,None,No Immediate Action
297101,5325.72,0.10614977,Low Risk,Silver,565.3239547857643,565.3239547857643,No Action Required,None,No Immediate Action
488872,2127.92,0.10084533,Low Risk,Bronze,214.59079347193241,214.59079347193241,No Action Required,None,No Immediate Action
472933,10660.9,0.14134079,Low Risk,Premium,1506.820051342249,1506.820051342249,No Action Required,None,No Immediate Action
997539,12315.09,0.1865049,Low Risk,Premium,2296.824634550214,2296.824634550214,No Action Required,None,No Immediate Action
229166,7366.09,0.073548235,Low Risk,Gold,541.7629183451087,541.7629183451087,No Action Required,None,No Immediate Action
298539,2425.3,0.18484163,Low Risk,Bronze,448.29641213417057,448.29641213417057,No Action Required,None,No Immediate Action
975949,2573.72,0.1217167,Low Risk,Bronze,313.26470639616247,313.26470639616247,No Action Required,None,No Immediate Action
472824,18321.87,0.10184114,Low Risk,Premium,1865.9200693430005,1865.9200693430005,No Action Required,None,No Immediate Action
472726,5124.22,0.9999423,Critical Risk,Silver,5123.92434636116,5123.92434636116,Double Loyalty Points Campaign,App Notification,Within 24 Hours
284290,7376.8,0.08782482,Low Risk,Gold,647.8661430358887,647.8661430358887,No Action Required,None,No Immediate Action
272893,3219.15,0.05084473,Low Risk,Bronze,163.67680918872358,163.67680918872358,No Action Required,None,No Immediate Action
490553,8164.31,0.07924899,Low Risk,Gold,647.01329818286,647.01329818286,No Action Required,None,No Immediate Action
275287,8129.51,0.12800951,Low Risk,Gold,1040.6546161954104,1040.6546161954104,No Action Required,None,No Immediate Action
475132,21274.34,0.11737903,Low Risk,Premium,2497.161437243074,2497.161437243074,No Action Required,None,No Immediate Action
229636,6019.93,0.9999374,Critical Risk,Gold,6019.553243421316,6019.553243421316,Free Upgrade Voucher,Email + SMS,Within 24 Hours
296887,5632.61,0.100968905,Low Risk,Silver,568.7184628275782,568.7184628275782,No Action Required,None,No Immediate Action
298671,13171.01,0.14951375,Low Risk,Premium,1969.2471130934357,1969.2471130934357,No Action Required,None,No Immediate Action
229094,5887.18,0.16716059,Low Risk,Gold,984.1044558772445,984.1044558772445,No Action Required,None,No Immediate Action
472719,12300.01,0.3454408,Low Risk,Premium,4248.925355395675,4248.925355395675,No Action Required,None,No Immediate Action
490562,7319.58,0.3258085,Low Risk,Gold,2384.7813459044696,2384.7813459044696,No Action Required,None,No Immediate Action
225087,8029.39,0.061580233,Low Risk,Gold,494.45170926310124,494.45170926310124,No Action Required,None,No Immediate Action
472702,7198.42,0.48606732,Medium Risk,Gold,3498.916752739549,3498.916752739549,Targeted Email Campaign,None,Within 30 Days
976330,8694.0,0.9998969,Critical Risk,Gold,8693.103509187698,8693.103509187698,Free Upgrade Voucher,Email + SMS,Within 24 Hours
488724,10629.22,0.9999293,Critical Risk,Premium,10628.468608653544,10628.468608653544,Personal Relationship Manager Call,Phone Call,Within 24 Hours
285909,5671.93,0.39575574,Low Risk,Silver,2244.698843147457,2244.698843147457,No Action Required,None,No Immediate Action
272551,6670.85,0.7774237,High Risk,Gold,5186.0767545849085,5186.0767545849085,Priority Lounge Access,Email,Within 7 Days
296915,7564.61,0.15219288,Low Risk,Gold,1151.2797497735917,1151.2797497735917,No Action Required,None,No Immediate Action
284419,9705.31,0.25803897,Low Risk,Premium,2504.3481750431656,2504.3481750431656,No Action Required,None,No Immediate Action
488811,7050.97,0.40173924,Medium Risk,Gold,2832.6513268959525,2832.6513268959525,Targeted Email Campaign,None,Within 30 Days
472807,10209.02,0.9581011,Critical Risk,Premium,9781.273228310347,9781.273228310347,Personal Relationship Manager Call,Phone Call,Within 24 Hours
475034,7824.49,0.61362255,High Risk,Gold,4801.283476485014,4801.283476485014,Priority Lounge Access,Email,Within 7 Days
490479,5295.63,0.09640128,Low Risk,Silver,510.50551916979254,510.50551916979254,No Action Required,None,No Immediate Action
490487,7591.11,0.10201012,Low Risk,Gold,774.37006808348,774.37006808348,No Action Required,None,No Immediate Action
298543,13770.98,0.77547634,High Risk,Premium,10679.069120128155,10679.069120128155,Priority Lounge Access,Email,Within 7 Days
285776,3103.0,0.12537934,Low Risk,Bronze,389.05208848416805,389.05208848416805,No Action Required,None,No Immediate Action
224691,7343.35,0.19534257,Low Risk,Gold,1434.4688653990627,1434.4688653990627,No Action Required,None,No Immediate Action
488799,5493.7,0.08547903,Low Risk,Silver,469.5961389966309,469.5961389966309,No Action Required,None,No Immediate Action
284362,10056.51,0.0737845,Low Risk,Premium,742.0145657202602,742.0145657202602,No Action Required,None,No Immediate Action
298601,2515.41,0.08928505,Low Risk,Bronze,224.58851595349608,224.58851595349608,No Action Required,None,No Immediate Action
475123,6500.41,0.083836295,Low Risk,Gold,544.9702884999663,544.9702884999663,No Action Required,None,No Immediate Action
472787,7478.31,0.119982004,Low Risk,Gold,897.2626215720177,897.2626215720177,No Action Required,None,No Immediate Action
231755,9048.98,0.13656954,Low Risk,Premium,1235.8150783547758,1235.8150783547758,No Action Required,None,No Immediate Action
470076,18361.56,0.19246852,Low Risk,Premium,3534.0223511552813,3534.0223511552813,No Action Required,None,No Immediate Action
